,track_name,artist_name,track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
87,How You Remind Me,Nickelback,0gmbgwZ8iqyMPmXefof8Yf,0.446,0.764,-5.042,0.033,0.00135,0,0.099,0.543,172.094,4
88,It's Been Awhile,Staind,25CMmGsl22APKhfuj4Tp7j,0.509,0.774,-4.054,0.0338,0.00189,0.000549,0.143,0.0824,116.529,4
89,Blurry,Puddle of Mudd,6lSr3iZTC144PKhvbPFzMp,0.431,0.938,-4.507,0.0542,0.00805,0,0.138,0.523,157.462,4
90,Wasting My Time,Default,5dpAN1mjFPL38kh9kWsCiw,0.449,0.776,-5.594,0.0322,0.00171,0,0.0698,0.198,148.11,4
91,Hanging By A Moment,Lifehouse,0wqOReZDnrefefEsrIGeR4,0.541,0.864,-4.915,0.0357,0.00118,0,0.0896,0.435,124.557,4
92,My Sacrifice,Creed,2VSbEXqs6NbNiZSTcHlIDR,0.32,0.88,-6.035,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,4
93,Butterfly,Crazy Town,4BggEwLhGfrbrl7JBhC8EC,0.736,0.811,-4.17,0.081,0.00132,0.000142,0.107,0.609,103.502,4
94,In the End,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,-5.87,0.0584,0.00958,0,0.209,0.4,105.143,4
95,Too Bad,Nickelback,2cCWbBmadLbKvr9xddC79R,0.598,0.808,-5.209,0.0388,0.00304,0,0.147,0.288,128.025,4
96,The Middle,Jimmy Eat World,6GG73Jik4jUlQCkKg9JuGO,0.643,0.849,-5.428,0.0526,0.0371,0,0.058,0.903,162.152,4
97,Youth of the Nation,P.O.D.,0UrWr7Jnu1heq1o99ZwUd0,0.563,0.86,-7.533,0.0621,0.00834,0.0106,0.39,0.517,97.867,4
98,Awake,Godsmack,6xXlurslWqFuyqTCBlErzX,0.395,0.756,-4.12,0.0544,1.74e-05,0.00665,0.319,0.475,112.092,4
99,Smooth Criminal,Alien Ant Farm,5z6xHjCZr7a7AIcy8sPBKy,0.653,0.964,-4.261,0.0582,0.00316,0.00512,0.144,0.87,126.928,4
